Dataset,Filter Ratio,Sketch Ratio,Admission Ratio,F1 Score,Precision,Recall,Insert Throughput (Mops),Query Throughput (Mops)
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.30,0.70,0.30,0.942070,0.921077,0.964043,10.345162,9.552774
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.30,0.70,0.40,0.918744,0.875110,0.966958,12.394059,9.885141
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.30,0.70,0.50,0.917117,0.854744,0.989310,14.100616,11.191658
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.30,0.70,0.60,0.896825,0.820823,0.988338,14.681417,12.065513
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.30,0.70,0.70,0.882735,0.795632,0.991254,15.473414,13.229406
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.30,0.70,0.80,0.858819,0.754786,0.996113,17.522531,14.048618
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.30,0.70,0.90,0.835443,0.720423,0.994169,18.282302,14.753528
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.40,0.60,0.30,0.955078,0.959764,0.950437,12.315180,10.610758
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.40,0.60,0.40,0.946165,0.928037,0.965015,13.979648,12.246944
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.40,0.60,0.50,0.942389,0.909584,0.977648,15.245698,12.968113
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.40,0.60,0.60,0.937963,0.895668,0.984451,16.253727,13.597379
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.40,0.60,0.70,0.928474,0.873928,0.990282,17.233056,13.999106
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.40,0.60,0.80,0.919820,0.857263,0.992225,18.221451,14.587798
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.40,0.60,0.90,0.905877,0.830632,0.996113,18.936779,15.558618
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.50,0.50,0.30,0.950150,0.975435,0.926142,13.007113,11.851211
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.50,0.50,0.40,0.959413,0.965551,0.953353,14.351774,12.811556
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.50,0.50,0.50,0.956187,0.947519,0.965015,15.469450,13.343697
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.50,0.50,0.60,0.959770,0.946176,0.973761,16.614207,13.679599
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.50,0.50,0.70,0.952875,0.924977,0.982507,17.795803,14.302122
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.50,0.50,0.80,0.950070,0.913824,0.989310,18.417103,15.002955
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.50,0.50,0.90,0.940422,0.889853,0.997085,19.164081,16.008348
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.60,0.40,0.30,0.917058,0.989865,0.854227,13.358682,12.467813
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.60,0.40,0.40,0.937847,0.976842,0.901846,14.634059,13.099371
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.60,0.40,0.50,0.951292,0.973550,0.930029,15.796658,13.548932
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.60,0.40,0.60,0.953967,0.961500,0.946550,16.732580,13.963981
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.60,0.40,0.70,0.960615,0.949668,0.971817,17.707096,14.274550
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.60,0.40,0.80,0.953155,0.937912,0.968902,18.887062,14.888424
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.60,0.40,0.90,0.952919,0.924201,0.983479,19.326631,16.155976
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.70,0.30,0.30,0.850306,0.994792,0.742468,13.384473,12.618384
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.70,0.30,0.40,0.868522,0.990050,0.773567,14.386974,13.199026
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.70,0.30,0.50,0.899258,0.989498,0.824101,15.500558,13.459493
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.70,0.30,0.60,0.911933,0.983146,0.850340,16.479785,13.931288
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.70,0.30,0.70,0.922211,0.974054,0.875607,17.333748,14.254549
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.70,0.30,0.80,0.933868,0.963806,0.905734,18.124912,14.693641
../../equinix-chicago.dirA.20160121-140000.UTC.anon.dat,0.70,0.30,0.90,0.942899,0.947059,0.938776,19.021827,15.942137
